Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0.00024619939328266,0.150838930266798,-0.000497088298818348,0,0,0,122.092710334633,3.7669452280776,-0.00646755912932073,0.00317132797577638,6.7732794192064,0.0130583098611044,3.441133324771,0,0,0,0,0,0,package://GC/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://GC/meshes/base_link.STL,,base_link-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_link_1,0,1.38777878078145E-17,0.03,0,0,0,1.20637157897848,0.00229210600005911,-1.05032085459533E-19,1.42099558356963E-20,0.00229210600005911,-4.78502541560294E-20,0.00386038905273114,0,0,0,0,0,0,package://GC/meshes/wheel_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/wheel_link_1.STL,,wheel-2,wheel_xyz_1,wheel_joint_1,wheel_1,revolute,0.2935,-0.18,0.08,-1.5708,0,1.5708,base_link,0,0,-1,0,0,-10,10,,,,,,,,
wheel_link_2,0,1.38777878078145E-17,0.03,0,0,0,1.20637157897848,0.00229210600005911,-1.05032085459533E-19,1.42099558356963E-20,0.00229210600005911,-4.78502541560294E-20,0.00386038905273114,0,0,0,0,0,0,package://GC/meshes/wheel_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/wheel_link_2.STL,,wheel-1,wheel_xyz_2,wheel_ joint 2,wheel_2,revolute,0.2935,0.18,0.08,-1.5708,0,1.5708,base_link,0,0,-1,0,0,-10,10,,,,,,,,
wheel_link_3,2.77555756156289E-17,0,-0.03,0,0,0,1.20637157897848,0.00229210600005911,-2.74438674910393E-19,6.84200644599715E-20,0.00229210600005911,-7.4955308468167E-20,0.00386038905273114,0,0,0,0,0,0,package://GC/meshes/wheel_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/wheel_link_3.STL,,wheel-4,wheel_xyz_3,wheel_joint_3,wheel_3,revolute,-0.2935,-0.18,0.08,-1.5708,0,1.5708,base_link,0,0,-1,0,0,-10,10,,,,,,,,
wheel_link_4,-2.77555756156289E-17,1.38777878078145E-17,-0.03,0,0,0,1.20637157897848,0.00229210600005911,-1.3213713977167E-19,1.42099558356965E-20,0.00229210600005911,6.35985446824579E-21,0.00386038905273114,0,0,0,0,0,0,package://GC/meshes/wheel_link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/wheel_link_4.STL,,wheel-3,wheel_xyz_4,wheel_joint_4,wheel_4,revolute,-0.2935,0.18,0.08,-1.5708,0,1.5708,base_link,0,0,-1,0,0,-10,10,,,,,,,,
line_link,-6.93889390390723E-18,1.38777878078145E-17,-0.138220449708882,0,0,0,1.09949619073592,0.0035366386494099,-7.00173431439187E-19,-7.88794955279095E-20,0.0013181386494099,7.86046575051991E-20,0.00346776285420644,0,0,0,0,0,0,package://GC/meshes/line_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/line_link.STL,,link_1-1,line_xyz,line joint,line,prismatic,0.0525,0.106,0.216,3.1416,0,0,base_link,0,0,-1,0,0,-1,1,,,,,,,,
link_1,0.0988134508022116,-0.0447821238375509,0.00818462866097147,0,0,0,0.298000879113616,0.000332255250439969,0.000504848132945933,4.06573597239539E-05,0.00121742526011606,-1.84258610875798E-05,0.00150941735277171,0,0,0,0,0,0,package://GC/meshes/link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/link_1.STL,,link_2-1,xyz_1,joint_1,J1,revolute,0,0,-0.20172,0,0,0,line_link,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link_2,-0.0109573674942894,0.0106588447738483,5.55111512312578E-17,0,0,0,0.58398682899762,0.00101900142131788,0.000657519336759442,-5.6615643820121E-19,0.00105533006227943,7.6878984917057E-19,0.00163912949589206,0,0,0,0,0,0,package://GC/meshes/link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/link_2.STL,,link_3-1,xyz_2,joint_2,J2,revolute,0.17397,-0.078842,-0.0545,-3.1416,0,0,link_1,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link_3,-8.08850694750674E-05,-7.7894728112593E-05,-0.0351943560446614,0,0,0,0.222871773788512,0.000158222112432887,-9.62941054290105E-06,-2.03806831226102E-07,0.000158947782628763,-1.96272041412216E-07,0.000135435749225932,0,0,0,0,0,0,package://GC/meshes/link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/link_3.STL,,link_4-1,xyz_3,joint_3,J3,revolute,-0.070964,0.06903,0,1.5708,0,0.79921,link_2,0,0,-1,0,0,-3.14,3.14,,,,,,,,
link_4,0.0145254511747708,0.0509366550277066,2.44249065417534E-15,0,0,0,0.263988174644702,0.000251042200733505,-6.28957453331269E-06,-1.14518854468781E-18,0.000230780017994041,-1.68051336735253E-18,0.000164335442331243,0,0,0,0,0,0,package://GC/meshes/link_4.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://GC/meshes/link_4.STL,,link_5-1,xyz_4,joint_4,J4,revolute,-0.00036015,-0.00034683,-0.0465,-1.5708,-0.97721,-0.80423,link_3,0,0,-1,0,0,-3.14,3.14,,,,,,,,
